Year,District,State,T2M,T2M_MAX,T2M_MIN,RH2M,ALLSKY_SFC_SW_DWN,WS2M,ALLSKY_SFC_PAR_TOT
2015,Kadapa YSR,Andhra Pradesh,27.23358904,33.74709589,21.79071233,65.45279452,19.61221918,2.801561644,8.985041096
2016,Kadapa YSR,Andhra Pradesh,27.80784153,34.85532787,21.98688525,60.87308743,19.36125683,2.837595628,8.838688525
2017,Kadapa YSR,Andhra Pradesh,27.6740274,34.13416438,22.16065753,63.20882192,19.3630137,2.548630137,8.832
2018,Kadapa YSR,Andhra Pradesh,28.48583562,35.64336986,22.49821918,56.64158904,19.59520548,2.958794521,8.91090411
2019,Kadapa YSR,Andhra Pradesh,28.38353425,34.77046575,22.95515068,61.76791781,19.26739726,2.829342466,8.834136986
1990,Krishna,Andhra Pradesh,27.86876712,29.8840274,26.29641096,76.90306849,17.69947945,4.336273973,8.837561644
1991,Krishna,Andhra Pradesh,27.75964384,29.63819178,26.25769863,77.386,17.56210959,4.274931507,8.788849315
1992,Krishna,Andhra Pradesh,27.49789617,29.43117486,25.9418306,76.51502732,17.90087432,3.956174863,8.904234973
1993,Krishna,Andhra Pradesh,27.80673973,29.82553425,26.23378082,75.56235616,18.20457534,4.240109589,9.089890411
1994,Krishna,Andhra Pradesh,27.70328767,29.62115068,26.16306849,76.44139726,17.91487671,4.23290411,8.933643836
1995,Krishna,Andhra Pradesh,27.61671233,29.36008219,26.18457534,77.72172603,17.05961644,3.901561644,8.505232877
1996,Krishna,Andhra Pradesh,27.58540984,29.4889071,26.08062842,77.75726776,17.36800546,4.035464481,8.630546448
1997,Krishna,Andhra Pradesh,28.04747945,29.9460274,26.53742466,76.23364384,17.53816438,4.113780822,8.811123288
1998,Krishna,Andhra Pradesh,28.28539726,30.04893151,26.86791781,77.13753425,17.37887671,4.061178082,8.654027397
1999,Krishna,Andhra Pradesh,27.8829863,29.98030137,26.20649315,75.12616438,18.7959726,4.081835616,9.405260274
2000,Krishna,Andhra Pradesh,27.7513388,29.64442623,26.23057377,76.96434426,18.60046448,4.023688525,9.274098361
2001,Krishna,Andhra Pradesh,28.08838356,30.06238356,26.49613699,75.44564384,17.69838356,3.961671233,8.253013699
2002,Krishna,Andhra Pradesh,28.21364384,30.26463014,26.59663014,74.69572603,18.50556164,4.05739726,8.607890411
2003,Krishna,Andhra Pradesh,28.02063014,29.99479452,26.47331507,76.50421918,17.87350685,4.139178082,8.333315068
2004,Krishna,Andhra Pradesh,27.79967213,29.71423497,26.25027322,76.0020765,18.75306011,4.039644809,8.712868852
2005,Krishna,Andhra Pradesh,27.94512329,29.72613699,26.47808219,77.43441096,17.94605479,4.069068493,8.360109589
2006,Krishna,Andhra Pradesh,27.94852055,29.84778082,26.38060274,75.99320548,18.11920548,3.840027397,8.417780822
2007,Krishna,Andhra Pradesh,27.64679452,29.45978082,26.1880274,77.50739726,18.21139726,4.004027397,8.447753425
2008,Krishna,Andhra Pradesh,27.98286885,29.86453552,26.4945082,75.98177596,17.9952459,3.816502732,8.350163934
2009,Krishna,Andhra Pradesh,28.30331507,30.29989041,26.72964384,74.77920548,18.27410959,3.83830137,8.449835616
2010,Krishna,Andhra Pradesh,28.03424658,29.75528767,26.67276712,78.31432877,17.27427397,4.098273973,8.04830137
2011,Krishna,Andhra Pradesh,28.0249863,30.02569863,26.40684932,74.65172603,18.55449315,3.93830137,8.566876712
2012,Krishna,Andhra Pradesh,27.91918033,29.88923497,26.36680328,75.97554645,17.73185792,3.930382514,8.192568306
2013,Krishna,Andhra Pradesh,27.79958904,29.68309589,26.23950685,76.36630137,17.57068493,4.060273973,8.135917808
2014,Krishna,Andhra Pradesh,28.09361644,30.10263014,26.44983562,74.10791781,17.89123288,3.909041096,8.236054795
2015,Krishna,Andhra Pradesh,28.04994521,29.94339726,26.53073973,75.49057534,18.21649315,3.868931507,8.408684932
2016,Krishna,Andhra Pradesh,28.13868852,30.16497268,26.46150273,75.06530055,17.99918033,3.963770492,8.314508197
2017,Krishna,Andhra Pradesh,28.0950411,30.06517808,26.50575342,76.44865753,18.03665753,3.812410959,8.309315068
2018,Krishna,Andhra Pradesh,27.9490137,30.02764384,26.30367123,75.06536986,18.11591781,3.786438356,8.319945205
2019,Krishna,Andhra Pradesh,28.1690411,29.98134247,26.73268493,77.06016438,18.20854795,4.073671233,8.417561644
1990,Kurnool,Andhra Pradesh,27.354,34.21684932,21.44673973,58.63358904,18.64038356,3.045835616,9.267671233
1991,Kurnool,Andhra Pradesh,27.87282192,34.76164384,21.8519726,57.55758904,18.93057534,2.922109589,9.421890411
1992,Kurnool,Andhra Pradesh,27.32161202,34.54530055,20.93879781,56.76868852,19.31704918,2.671639344,9.523442623
1993,Kurnool,Andhra Pradesh,27.19465753,34.06569863,21.16734247,59.02857534,18.86567123,2.831616438,9.319945205
1994,Kurnool,Andhra Pradesh,27.28843836,34.15394521,21.37961644,59.97353425,18.78750685,3.027369863,9.319643836
1995,Kurnool,Andhra Pradesh,26.67128767,33.11682192,21.01835616,64.25882192,18.92334247,2.740712329,9.36060274
1996,Kurnool,Andhra Pradesh,26.72825137,33.16713115,20.98431694,62.72016393,18.40918033,2.668196721,9.048032787
1997,Kurnool,Andhra Pradesh,27.29630137,34.02953425,21.4569863,60.7950411,18.65112329,2.764356164,9.295506849
1998,Kurnool,Andhra Pradesh,27.38016438,33.64558904,21.83219178,63.56471233,18.53594521,2.569123288,9.169643836
1999,Kurnool,Andhra Pradesh,27.22643836,34.34449315,21.05334247,57.37446575,19.50972603,2.86769863,9.669452055
2000,Kurnool,Andhra Pradesh,26.90202186,33.58188525,21.13346995,61.35669399,19.1281694,2.676748634,9.414344262
2001,Kurnool,Andhra Pradesh,27.37750685,34.10257534,21.51819178,58.71375342,18.67049315,2.857780822,8.551232877
2002,Kurnool,Andhra Pradesh,27.52542466,34.63312329,21.3369863,59.42808219,19.46547945,2.833643836,8.911616438
2003,Kurnool,Andhra Pradesh,27.88068493,34.6570411,21.95432877,58.29,19.1839726,2.828986301,8.796410959
2004,Kurnool,Andhra Pradesh,26.90718579,33.85855191,20.93295082,61.09601093,19.38010929,2.815054645,8.868442623
2005,Kurnool,Andhra Pradesh,26.48679452,32.63364384,21.1290411,66.08134247,18.66684932,2.53490411,8.560520548
2006,Kurnool,Andhra Pradesh,26.75663014,33.49054795,21.04531507,63.64945205,19.01391781,2.709808219,8.695561644
2007,Kurnool,Andhra Pradesh,26.67808219,33.16709589,21.02671233,63.51638356,18.92358904,2.682465753,8.647863014
2008,Kurnool,Andhra Pradesh,26.81901639,33.54535519,21.03775956,62.0339071,19.19215847,2.676994536,8.757185792
2009,Kurnool,Andhra Pradesh,27.55205479,34.18808219,21.75315068,59.94232877,19.07134247,2.74290411,8.680246575
2010,Kurnool,Andhra Pradesh,27.43789041,33.64649315,22.06306849,63.83016438,18.2110411,2.635835616,8.356082192
2011,Kurnool,Andhra Pradesh,27.6519726,34.84726027,21.46808219,57.03306849,19.25323288,2.954356164,8.734246575
2012,Kurnool,Andhra Pradesh,27.67202186,34.76081967,21.5189071,56.78620219,19.13103825,2.820519126,8.682568306
2013,Kurnool,Andhra Pradesh,26.95564384,33.43846575,21.32205479,62.44646575,18.39657534,2.960465753,8.375150685
2014,Kurnool,Andhra Pradesh,27.13293151,33.75720548,21.36413699,60.48871233,18.72887671,2.743561644,8.495013699
2015,Kurnool,Andhra Pradesh,27.62972603,34.60235616,21.57043836,57.95276712,19.03630137,2.786575342,8.66260274
2016,Kurnool,Andhra Pradesh,27.52478142,34.50409836,21.47617486,57.78928962,18.6995082,2.776666667,8.488879781
2017,Kurnool,Andhra Pradesh,27.44035616,34.16057534,21.48953425,58.49060274,18.85534247,2.466027397,8.545643836
2018,Kurnool,Andhra Pradesh,28.15232877,35.31109589,21.82775342,52.29931507,18.81306849,2.767589041,8.496356164
2019,Kurnool,Andhra Pradesh,28.07723288,34.63167123,22.35989041,59.44460274,18.53479452,2.791506849,8.449726027
1990,Prakasam,Andhra Pradesh,27.61284932,34.33835616,22.38164384,65.75660274,18.15008219,3.017150685,8.931506849
1991,Prakasam,Andhra Pradesh,27.67008219,34.35893151,22.38712329,66.02621918,18.40964384,2.918767123,9.067041096
1992,Prakasam,Andhra Pradesh,27.26653005,34.1452459,21.75442623,64.8865847,18.89653005,2.672868852,9.288825137
1993,Prakasam,Andhra Pradesh,27.54909589,34.08435616,22.28027397,65.01682192,18.51367123,2.801643836,9.125479452
1994,Prakasam,Andhra Pradesh,27.48117808,33.87109589,22.38189041,66.0610137,18.3890411,2.951013699,9.042465753
1995,Prakasam,Andhra Pradesh,26.71457534,32.90443836,21.81816438,70.60323288,18.30449315,2.629013699,8.961945205
1996,Prakasam,Andhra Pradesh,27.18934426,33.49773224,22.08953552,67.85997268,18.10937158,2.609043716,8.830245902
1997,Prakasam,Andhra Pradesh,27.63747945,34.02608219,22.53652055,66.41312329,18.14019178,2.77969863,8.98539726
1998,Prakasam,Andhra Pradesh,27.71915068,33.81917808,22.79021918,68.71484932,18.23778082,2.631506849,8.975123288
1999,Prakasam,Andhra Pradesh,27.65180822,34.40720548,22.3189863,62.82893151,19.51947945,2.80339726,9.609260274
2000,Prakasam,Andhra Pradesh,27.28909836,33.70737705,22.21387978,67.70038251,18.87248634,2.706803279,9.281557377
2001,Prakasam,Andhra Pradesh,27.79156164,34.24926027,22.62747945,64.93052055,18.47189041,2.85060274,8.507972603
2002,Prakasam,Andhra Pradesh,27.57106849,34.20624658,22.25252055,66.42526027,19.16783562,2.801260274,8.817342466
2003,Prakasam,Andhra Pradesh,27.9909589,34.57865753,22.80816438,64.93438356,18.66854795,2.773643836,8.601479452
2004,Prakasam,Andhra Pradesh,27.15505464,33.63322404,22.07174863,67.29322404,19.1229235,2.728606557,8.799945355
